"Country","Gender","Literacy Rate"
"afghanistan","Overall","38.2"
"albania","Overall","97.6"
"algeria","Overall","80.2"
"angola","Overall","71.1"
"argentina","Overall","98.1"
"armenia","Overall","99.8"
"australia","Overall","99"
"azerbaijan","Overall","99.8"
"bahrain","Overall","95.7"
"bangladesh","Overall","72.8"
"barbados","Overall","99.7"
"belarus","Overall","99.7"
"belgium","Overall","99"
"belize","Overall","82.7"
"benin","Overall","38.4"
"bhutan","Overall","64.9"
"bolivia","Overall","95.7"
"bosnia and herzegovina","Overall","98.5"
"botswana","Overall","88.5"
"brazil","Overall","91.7"
"bulgaria","Overall","98.4"
"burkina faso","Overall","36"
"burundi","Overall","85.6"
"cambodia","Overall","77.2"
"cameroon","Overall","75"
"canada","Overall","99"
"chad","Overall","40.2"
"chile","Overall","97.3"
"china","Overall","96.4"
"colombia","Overall","94.7"
"comoros","Overall","77.8"
"costa rica","Overall","97.8"
"croatia","Overall","99.3"
"cuba","Overall","99.7"
"cyprus","Overall","99.1"
"czech republic","Overall","99"
"denmark","Overall","99"
"djibouti","Overall","67.9"
"dominican republic","Overall","91.8"
"ecuador","Overall","94.5"
"el salvador","Overall","88.4"
"equatorial guinea","Overall","95.3"
"estonia","Overall","99.8"
"ethiopia","Overall","49.1"
"fiji","Overall","93.7"
"finland","Overall","100"
"france","Overall","99"
"gabon","Overall","83.2"
"georgia","Overall","99.8"
"germany","Overall","99"
"ghana","Overall","76.6"
"greece","Overall","97.7"
"guatemala","Overall","79.3"
"guinea","Overall","30.4"
"guinea-bissau","Overall","59.9"
"guyana","Overall","88.5"
"haiti","Overall","60.7"
"honduras","Overall","88.5"
"hungary","Overall","99.1"
"iceland","Overall","99"
"india","Overall","69.3"
"indonesia","Overall","93.9"
"iraq","Overall","43.7"
"ireland","Overall","99"
"israel","Overall","97.8"
"italy","Overall","99.2"
"jamaica","Overall","88.7"
"japan","Overall","99"
"jordan","Overall","97.9"
"kazakhstan","Overall","99.8"
"kenya","Overall","78"
"kuwait","Overall","96.2"
"latvia","Overall","99.9"
"lebanon","Overall","93.9"
"lesotho","Overall","79.4"
"liberia","Overall","47.6"
"liechtenstein","Overall","100"
"lithuania","Overall","99.8"
"luxembourg","Overall","100"
"madagascar","Overall","64.7"
"malawi","Overall","65.8"
"malaysia","Overall","94.6"
"maldives","Overall","99.3"
"mali","Overall","38.7"
"malta","Overall","94.1"
"mauritania","Overall","52.1"
"mauritius","Overall","90.6"
"mexico","Overall","94.4"
"moldova","Overall","99.4"
"mongolia","Overall","98.4"
"morocco","Overall","72.4"
"mozambique","Overall","58.8"
"namibia","Overall","81.9"
"nepal","Overall","64.7"
"netherlands","Overall","99"
"new zealand","Overall","99"
"nicaragua","Overall","82.8"
"niger","Overall","19.1"
"nigeria","Overall","59.6"
"norway","Overall","100"
"oman","Overall","94.8"
"pakistan","Overall","56.4"
"panama","Overall","95"
"papua new guinea","Overall","64.2"
"paraguay","Overall","95.6"
"peru","Overall","94.5"
"philippines","Overall","96.3"
"poland","Overall","99.8"
"portugal","Overall","95.4"
"qatar","Overall","97.8"
"romania","Overall","98.8"
"rwanda","Overall","70.5"
"samoa","Overall","99"
"saudi arabia","Overall","94.7"
"senegal","Overall","55.7"
"serbia","Overall","98.1"
"seychelles","Overall","95.2"
"sierra leone","Overall","48.1"
"singapore","Overall","96.8"
"slovenia","Overall","99.7"
"solomon islands","Overall","84.1"
"south africa","Overall","94.3"
"spain","Overall","98.1"
"sri lanka","Overall","92.6"
"sudan","Overall","53.5"
"suriname","Overall","95.6"
"swaziland","Overall","87.5"
"sweden","Overall","99"
"switzerland","Overall","99"
"tajikistan","Overall","99.8"
"thailand","Overall","96.7"
"togo","Overall","66.5"
"tonga","Overall","99.4"
"trinidad and tobago","Overall","99"
"tunisia","Overall","81.8"
"turkey","Overall","95"
"turkmenistan","Overall","99.7"
"uganda","Overall","73.9"
"ukraine","Overall","99.8"
"united arab emirates","Overall","93.8"
"united kingdom","Overall","99"
"united states","Overall","99"
"uruguay","Overall","98.4"
"uzbekistan","Overall","99.6"
"vanuatu","Overall","85.2"
"vietnam","Overall","94.5"
"zambia","Overall","63.4"
"zimbabwe","Overall","86.5"
"afghanistan","Male","52"
"albania","Male","98.4"
"algeria","Male","87.2"
"angola","Male","82"
"argentina","Male","98"
"armenia","Male","99.8"
"australia","Male","99"
"azerbaijan","Male","99.9"
"bahrain","Male","96.9"
"bangladesh","Male","75.6"
"barbados","Male","99.7"
"belarus","Male","99.8"
"belgium","Male","99"
"belize","Male","82.3"
"benin","Male","49.9"
"bhutan","Male","73.1"
"bolivia","Male","97.8"
"bosnia and herzegovina","Male","99.5"
"botswana","Male","88"
"brazil","Male","91.4"
"bulgaria","Male","98.7"
"burkina faso","Male","43"
"burundi","Male","88.2"
"cambodia","Male","84.5"
"cameroon","Male","81.2"
"canada","Male","99"
"chad","Male","48.5"
"chile","Male","97.4"
"china","Male","98.2"
"colombia","Male","94.6"
"comoros","Male","81.8"
"costa rica","Male","97.7"
"croatia","Male","99.7"
"cuba","Male","99.7"
"cyprus","Male","99.5"
"czech republic","Male","99"
"denmark","Male","99"
"djibouti","Male","67.9"
"dominican republic","Male","91.2"
"ecuador","Male","95.4"
"el salvador","Male","90.7"
"equatorial guinea","Male","97.4"
"estonia","Male","99.8"
"ethiopia","Male","57.2"
"fiji","Male","93.7"
"finland","Male","100"
"france","Male","99"
"gabon","Male","85.3"
"georgia","Male","99.8"
"germany","Male","99"
"ghana","Male","82"
"greece","Male","98.5"
"guatemala","Male","84.7"
