"Country","Decade","Year","Population"
"aruba","2010","2013","102921"
"andorra","2010","2013","75902"
"afghanistan","2010","2013","30682500"
"angola","2010","2013","23448202"
"albania","2010","2013","2897366"
"united arab emirates","2010","2013","9039978"
"argentina","2010","2013","42538304"
"armenia","2010","2013","2992192"
"american samoa","2010","2013","55302"
"antigua and barbuda","2010","2013","89985"
"australia","2010","2013","23125868"
"austria","2010","2013","8479375"
"azerbaijan","2010","2013","9416801"
"burundi","2010","2013","10465959"
"belgium","2010","2013","11182817"
"benin","2010","2013","10322232"
"burkina faso","2010","2013","17084554"
"bangladesh","2010","2013","157157394"
"bulgaria","2010","2013","7265115"
"bahrain","2010","2013","1349427"
"bahamas, the","2010","2013","377841"
"bosnia and herzegovina","2010","2013","3823533"
"belarus","2010","2013","9466000"
"belize","2010","2013","344193"
"bermuda","2010","2013","65001"
"bolivia","2010","2013","10399931"
"brazil","2010","2013","204259377"
"barbados","2010","2013","282503"
"brunei darussalam","2010","2013","411499"
"bhutan","2010","2013","754637"
"botswana","2010","2013","2176510"
"central african republic","2010","2013","4710678"
"canada","2010","2013","35158304"
"switzerland","2010","2013","8089346"
"channel islands","2010","2013","162138"
"chile","2010","2013","17575833"
"china","2010","2013","1357380000"
"cote d'ivoire","2010","2013","21622490"
"cameroon","2010","2013","22211166"
"congo, rep.","2010","2013","4394334"
"colombia","2010","2013","47342363"
"comoros","2010","2013","751697"
"cabo verde","2010","2013","507258"
"costa rica","2010","2013","4706433"
"cuba","2010","2013","11362505"
"curacao","2010","2013","153821"
"cayman islands","2010","2013","58369"
"cyprus","2010","2013","1141652"
"czech republic","2010","2013","10514272"
"germany","2010","2013","80645605"
"djibouti","2010","2013","864554"
"dominica","2010","2013","72005"
"denmark","2010","2013","5614932"
"dominican republic","2010","2013","10281408"
"algeria","2010","2013","38186135"
"ecuador","2010","2013","15661312"
"egypt, arab rep.","2010","2013","87613909"
"eritrea","2010","2013","4998824"
"spain","2010","2013","46620045"
"estonia","2010","2013","1317997"
"ethiopia","2010","2013","94558374"
"finland","2010","2013","5438972"
"fiji","2010","2013","880487"
"france","2010","2013","65925498"
"faeroe islands","2010","2013","48292"
"micronesia, fed. sts.","2010","2013","103718"
"gabon","2010","2013","1650351"
"united kingdom","2010","2013","64106779"
"georgia","2010","2013","4487200"
"ghana","2010","2013","26164432"
"guinea","2010","2013","11948726"
"gambia, the","2010","2013","1866878"
"guinea-bissau","2010","2013","1757138"
"equatorial guinea","2010","2013","797082"
"greece","2010","2013","11027549"
"grenada","2010","2013","105902"
"greenland","2010","2013","56483"
"guatemala","2010","2013","15690793"
"guam","2010","2013","165121"
"guyana","2010","2013","761033"
"hong kong sar, china","2010","2013","7187500"
"honduras","2010","2013","7849059"
"croatia","2010","2013","4255700"
"haiti","2010","2013","10431249"
"hungary","2010","2013","9893082"
"indonesia","2010","2013","251268276"
"isle of man","2010","2013","86462"
"india","2010","2013","1279498874"
"ireland","2010","2013","4598294"
"iran, islamic rep.","2010","2013","77152445"
"iraq","2010","2013","33781385"
"iceland","2010","2013","323764"
"israel","2010","2013","8059500"
"italy","2010","2013","60233948"
"jamaica","2010","2013","2714734"
"jordan","2010","2013","6460000"
"japan","2010","2013","127338621"
"kazakhstan","2010","2013","17035275"
"kenya","2010","2013","43692881"
"kyrgyz republic","2010","2013","5719600"
"cambodia","2010","2013","15078564"
"kiribati","2010","2013","108544"
"st. kitts and nevis","2010","2013","54301"
"korea, rep.","2010","2013","50219669"
"kosovo","2010","2013","1818117"
"kuwait","2010","2013","3593689"
"lao pdr","2010","2013","6579985"
"lebanon","2010","2013","4493438"
"liberia","2010","2013","4293692"
"libya","2010","2013","6265987"
"st. lucia","2010","2013","182305"
"liechtenstein","2010","2013","37040"
"sri lanka","2010","2013","20483000"
"lesotho","2010","2013","2083061"
"lithuania","2010","2013","2957689"
"luxembourg","2010","2013","543360"
"latvia","2010","2013","2012647"
"macao sar, china","2010","2013","568056"
"st. martin (french part)","2010","2013","31264"
"morocco","2010","2013","33452686"
"monaco","2010","2013","37528"
"moldova","2010","2013","3558566"
"madagascar","2010","2013","22924557"
"maldives","2010","2013","351111"
"mexico","2010","2013","123740109"
"marshall islands","2010","2013","52786"
"macedonia, fyr","2010","2013","2072543"
"mali","2010","2013","16592097"
"malta","2010","2013","423374"
"myanmar","2010","2013","52983829"
"montenegro","2010","2013","621207"
"mongolia","2010","2013","2859174"
"northern mariana islands","2010","2013","53869"
"mozambique","2010","2013","26467180"
"mauritania","2010","2013","3872684"
"mauritius","2010","2013","1258653"
"malawi","2010","2013","16190126"
"malaysia","2010","2013","29465372"
"namibia","2010","2013","2346592"
"new caledonia","2010","2013","262000"
"niger","2010","2013","18358863"
"nigeria","2010","2013","172816517"
"nicaragua","2010","2013","5945646"
"netherlands","2010","2013","16804432"
"norway","2010","2013","5079623"
"nepal","2010","2013","27834981"
"new zealand","2010","2013","4442100"
"oman","2010","2013","3906912"
"pakistan","2010","2013","181192646"
"panama","2010","2013","3805683"
"peru","2010","2013","30565461"
"philippines","2010","2013","97571676"
"palau","2010","2013","20919"
"papua new guinea","2010","2013","7308864"
"poland","2010","2013","38040196"
"puerto rico","2010","2013","3595839"
"korea, dem. rep.","2010","2013","24895705"
"portugal","2010","2013","10457295"
"paraguay","2010","2013","6465669"
"french polynesia","2010","2013","276766"
"qatar","2010","2013","2101288"
"romania","2010","2013","19983693"
"russian federation","2010","2013","143506911"
"rwanda","2010","2013","11078095"
"saudi arabia","2010","2013","30201051"
"sudan","2010","2013","38515095"
"senegal","2010","2013","14221041"
"singapore","2010","2013","5399200"
"solomon islands","2010","2013","560685"
"sierra leone","2010","2013","6178859"
"el salvador","2010","2013","6089644"
"san marino","2010","2013","31391"
"somalia","2010","2013","10268157"
"serbia","2010","2013","7164132"
"south sudan","2010","2013","11453810"
