"","Country","Total literacy rate","Male literacy rate","Female literacy rate"
"2","andorra","100","100","100"
"3","australia","99","99","99"
"4","belgium","99","99","99"
"5","barbados","99.7","99.7","99.7"
"6","canada","99","99","99"
"7","czech_republic","99","99","99"
"8","denmark","99","99","99"
"9","djibouti","67.9","67.9","67.9"
"10","dominica","91.8","91.8","91.8"
"11","fiji","93.7","93.7","93.7"
"12","finland","100","100","100"
"13","france","99","99","99"
"14","germany","99","99","99"
"15","iceland","99","99","99"
"16","ireland","99","99","99"
"17","israel","97.8","97.8","97.8"
"18","japan","99","99","99"
"19","liechtenstein","100","100","100"
"20","luxembourg","100","100","100"
"21","marshall_islands","98.3","98.3","98.3"
"22","monaco","99","99","99"
"23","netherlands","99","99","99"
"24","new_zealand","99","99","99"
"25","norway","100","100","100"
"26","saint_lucia","90.1","90.1","90.1"
"27","saint_vincent_and_the_grenadines","96","96","96"
"28","san_marino","96","96","96"
"29","solomon_islands","84.1","84.1","84.1"
"30","somalia","37.8","37.8","37.8"
"31","sweden","99","99","99"
"32","switzerland","99","99","99"
"33","united_kingdom","99","99","99"
"34","united_states","99","99","99"
